_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,please_select_the_gender_of_the_person_in_the_picture,please_select_the_gender_of_the_person_in_the_picture:confidence,image_url,please_select_the_gender_of_the_person_in_the_picture_gold,user_id
1023132475,FALSE,finalized,1,8/19/2016 17:00:25,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/40-large,,40
1023132476,FALSE,finalized,1,8/19/2016 17:00:48,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/42-large,,42
1023132477,FALSE,finalized,1,8/19/2016 17:01:43,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/44-large,,44
1023132478,FALSE,finalized,1,8/19/2016 17:01:04,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/47-large,,47
1023132479,FALSE,finalized,1,8/19/2016 17:00:48,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/50-large,,50
1023132480,FALSE,finalized,1,8/19/2016 17:02:00,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/65-large,,65
1023132481,FALSE,finalized,1,8/19/2016 17:02:03,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/67-large,,67
1023132482,FALSE,finalized,1,8/19/2016 17:01:13,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/68-large,,68
1023132483,FALSE,finalized,1,8/19/2016 17:01:19,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/74-large,,74
1023132484,FALSE,finalized,1,8/19/2016 17:01:57,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/77-large,,77
1023132485,FALSE,finalized,1,8/19/2016 17:02:00,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/78-large,,78
1023132486,FALSE,finalized,1,8/19/2016 17:02:00,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/84-large,,84
1023132487,FALSE,finalized,1,8/19/2016 17:01:44,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/88-large,,88
1023132488,FALSE,finalized,1,8/19/2016 17:02:00,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/91-large,,91
1023132489,FALSE,finalized,1,8/19/2016 17:00:55,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/103-large,,103
1023132490,FALSE,finalized,1,8/19/2016 17:01:27,female,1,https://d1qb2nb5cznatu.cloudfront.net/users/105-large,,105
1023132491,FALSE,finalized,1,8/19/2016 17:01:58,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/109-large,,109
1023132492,FALSE,finalized,1,8/19/2016 17:01:59,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/117-large,,117
1023132493,FALSE,finalized,1,8/19/2016 17:00:55,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/118-large,,118
1023132494,FALSE,finalized,1,8/19/2016 17:02:06,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/120-large,,120
1023132495,FALSE,finalized,1,8/19/2016 17:02:44,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/121-large,,121
1023132496,FALSE,finalized,1,8/19/2016 17:00:44,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/122-large,,122
1023132497,FALSE,finalized,1,8/19/2016 17:01:04,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/126-large,,126
1023132498,FALSE,finalized,1,8/19/2016 17:00:54,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/128-large,,128
1023132499,FALSE,finalized,1,8/19/2016 17:02:03,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/140-large,,140
1023132500,FALSE,finalized,1,8/19/2016 17:00:54,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/148-large,,148
1023132501,FALSE,finalized,1,8/19/2016 17:02:06,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/154-large,,154
1023132502,FALSE,finalized,1,8/19/2016 17:01:58,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/173-large,,173
1023132503,FALSE,finalized,1,8/19/2016 17:02:00,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/184-large,,184
1023132504,FALSE,finalized,1,8/19/2016 17:01:49,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/192-large,,192
1023132505,FALSE,finalized,1,8/19/2016 17:02:06,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/202-large,,202
1023132506,FALSE,finalized,1,8/19/2016 17:01:31,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/222-large,,222
1023132507,FALSE,finalized,1,8/19/2016 17:01:14,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/224-large,,224
1023132508,FALSE,finalized,1,8/19/2016 17:01:04,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/229-large,,229
1023132509,FALSE,finalized,1,8/19/2016 17:01:19,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/248-large,,248
1023132510,FALSE,finalized,1,8/19/2016 17:02:03,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/256-large,,256
1023132511,FALSE,finalized,1,8/19/2016 17:00:55,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/271-large,,271
1023132512,FALSE,finalized,1,8/19/2016 17:01:14,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/303-large,,303
1023132513,FALSE,finalized,1,8/19/2016 17:02:44,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/312-large,,312
1023132514,FALSE,finalized,1,8/19/2016 17:01:25,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/314-large,,314
1023132515,FALSE,finalized,1,8/19/2016 17:01:27,unsure,1,https://d1qb2nb5cznatu.cloudfront.net/users/335-large,,335
1023132516,FALSE,finalized,1,8/19/2016 17:00:25,female,1,https://d1qb2nb5cznatu.cloudfront.net/users/355-large,,355
1023132517,FALSE,finalized,1,8/19/2016 17:00:54,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/368-large,,368
1023132518,FALSE,finalized,1,8/19/2016 17:02:00,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/376-large,,376
1023132519,FALSE,finalized,1,8/19/2016 17:00:25,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/386-large,,386
1023132520,FALSE,finalized,1,8/19/2016 17:01:14,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/392-large,,392
1023132521,FALSE,finalized,1,8/19/2016 17:01:27,male,1,https://d1qb2nb5cznatu.cloudfront.net/users/404-large,,404
